,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
,2박 3일,2,4,크레타,"부산광역시 부산진구 서전로47번길 27 2층, 201호",카페,,
,2박 3일,2,5,구프,부산광역시 부산진구 동성로 25,카페,,
,2박 3일,2,6,첨벙,부산광역시 수영구 민락로33번길 16 1층 첨벙,맛집,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,7,이재모피자 부산역점,부산광역시 동구 중앙대로 197 2층 이재모피자,맛집,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
[vlog] Weekly Vlog | Daily Vlog | 2 Nights 3 Days Busan Food Tour | Waiting Tips for Each Restaur...,2박 3일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"17,941",https://www.youtube.com/watch?v=_0So79s-1hk&t=0s
,2박 3일,1,2,이재모피자 부산역점,부산광역시 동구 중앙대로 197 2층 이재모피자,맛집,,썸네일 ID
,2박 3일,1,3,호텔1,부산광역시 수영구 광안해변로 203,기타,,_0So79s-1hk
,2박 3일,1,4,해물상점,부산 수영구 광안해변로 189,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,2박 3일,2,5,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,맛집,,
,2박 3일,2,6,러브이즈기빙,부산광역시 수영구 광안로49번길 24 1층 러브이즈기빙,관광지,,
,2박 3일,2,7,요트탈래,부산광역시 해운대구 동백로 52 더베이101 요트투어 매표소,관광지,,
,2박 3일,2,8,칠성횟집,부산광역시 수영구 광안해변로 263 2층,맛집,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,9,네이비비건베이크샵,부산 수영구 광서로10번길 34 1층,카페,,
,2박 3일,3,10,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
sub) Busan vlog. 2박 3일 부산 여행 브이로그 | 오션뷰 가성비 숙소 | 더베이베이커리 | 전포•광안리 맛집 카페 | 스카이캡슐 해변열차 요트까지 ✨,2박 3일,1,1,수변최고돼지국밥 민락본점,부산광역시 수영구 광안해변로370번길 9-32,맛집,"11,286",https://www.youtube.com/watch?v=MZTDroTSF70&t=0s
,2박 3일,1,2,호텔센트럴베이,부산광역시 수영구 광안해변로 189,기타,,썸네일 ID
,2박 3일,1,3,부산요트투어 더요트,부산광역시 해운대구 해운대해변로 84 수영만요트경기장 본관 1층 107호,관광지,,MZTDroTSF70
,2박 3일,1,4,두루미,부산광역시 부산진구 서전로57번길 33 1층,맛집,,
,2박 3일,1,5,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,
--- Day 2 코스 시작 ---,,,,,,,,
,2박 3일,2,6,더베이베이커리,부산광역시 수영구 수영로510번길 30 1층,카페,,
,2박 3일,2,7,해운대 가야밀면,부산광역시 해운대구 좌동순환로 27 해운대 가야밀면,맛집,,
,2박 3일,2,8,Etalee,"부산광역시 수영구 광안해변로279번길 25 1, 2층",카페,,
,2박 3일,2,9,해운대블루라인파크,부산광역시 해운대구 청사포로 116 청사포정거장,관광지,,
,2박 3일,2,10,다비치안경 해운대해수욕장입구점,부산광역시 해운대구 구남로 11-1 다비치안경,관광지,,
,2박 3일,2,11,불필요상점,부산 부산진구 전포대로255번길 36,기타,,
