,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
,1박 2일,1,3,0:00,카페 툇마루,강원특별자치도 강릉시 난설헌로 232 카페 툇마루,카페,,🎥 영상 보기
,1박 2일,1,4,0:00,스카이베이호텔 경포,강원특별자치도 강릉시 해안로 476 스카이베이호텔 경포,기타,,🎥 영상 보기
,1박 2일,1,5,0:00,엄지네포장마차 본점,강원특별자치도 강릉시 경강로2255번길 21,맛집,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박 2일,2,6,0:00,9남매두부집,강원특별자치도 강릉시 초당원길 63-2 1층,맛집,,🎥 영상 보기
,1박 2일,2,7,0:00,갤러리밥스,강원특별자치도 강릉시 난설헌로 144 82-7 갤러리밥스,카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"Vlog 혼자 뚜벅이 강릉여행 1박2일 🫧맛집은 물론 소품샵투어, 가성비 바다앞 숙소 (feat. 생일)",1박2일,1,1,0:00,강릉역 (고속철도),강원특별자치도 강릉시 용지로 176,기타,"3,095",🎥 영상 보기
,1박2일,1,2,0:00:00,호텔 여기어때 강릉경포점,강원특별자치도 강릉시 해안로406번길 13-9 호텔여기어때 강릉경포점,기타,,🎥 영상 보기
,1박2일,1,3,0:00:00,빽다방 강릉경포해변점,강원특별자치도 강릉시 창해로 473 1층 102호,관광지,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박2일,2,4,0:00,빽다방 강릉경포해변점,강원특별자치도 강릉시 창해로 473 1층 102호,관광지,,🎥 영상 보기
,1박2일,2,5,0:00,강릉역 (고속철도),강원특별자치도 강릉시 용지로 176,기타,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
[여행vlog] 뚜벅이 강릉 1박 2일 여행 : 짬뽕순두부. 갤러리밥스. 테라로사. 강문해변. 더다온. 강릉 닭강정 맛집. 형제칼국수. 돌체테리아,1박2일,1,1,0:00,강릉짬뽕순두부 동화가든 본점,강원특별자치도 강릉시 초당순두부길77번길 15 동화가든,맛집,"2,225",🎥 영상 보기
,1박2일,1,2,0:00:00,갤러리밥스,강원특별자치도 강릉시 난설헌로 144 82-7 갤러리밥스,카페,,🎥 영상 보기
,1박2일,1,3,0:00,테라로사 경포호수점,강원특별자치도 강릉시 난설헌로 145,카페,,🎥 영상 보기
,1박2일,1,4,0:00,스타벅스 강릉강문해변점,강원특별자치도 강릉시 창해로350번길 3 (강문동),관광지,,🎥 영상 보기
,1박2일,1,5,0:00,더다온풀빌라,강원 강릉시 해안로 603,기타,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박2일,2,6,0:00,형제칼국수,강원특별자치도 강릉시 강릉대로204번길 2 형제칼국수,맛집,,🎥 영상 보기
,1박2일,2,7,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
,1박2일,2,8,0:00,배니닭강정,강원특별자치도 강릉시 금성로13번길 3-1 (성남동),맛집,,🎥 영상 보기
,1박2일,2,9,0:00,돌체테리아,강원특별자치도 강릉시 하슬라로206번길 4-3 1층 돌체테리아,카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
[VLOG] 강릉여행vlog | 돼지커플 1박2일 강릉 여행 | 경포대🌊 | 대관령양떼목장🐑 |홍게먹방 | 장칼국수 | 횡성한우먹방🐂🥩🤤,1박2일,1,1,0:00,최씨장칼국수,강원특별자치도 강릉시 해안로 292 강릉시 강문동 23-10,맛집,706,🎥 영상 보기
,1박2일,1,2,0:00,경포대,강원특별자치도 강릉시 경포로 365,관광지,,🎥 영상 보기
,1박2일,1,3,0:00,초당110 순두부젤라또,강원특별자치도 강릉시 초당순두부길 110 초당110,카페,,🎥 영상 보기
,1박2일,1,4,0:00,김군박군횟집,강원 강릉시 해안로 337,맛집,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박2일,2,5,0:00,산북정원,강원특별자치도 강릉시 성산면 칠봉산길 92-52 산북정원,관광지,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"강릉 여행 VLOG ㅣ 엄마아빠랑 1박 2일 강릉 타임어택 🌟 대관령 양떼목장, 통일집, 썸머키친, 막국수, 순두부 장칼국수",1박2일,1,1,0:00,산북정원,강원특별자치도 강릉시 성산면 칠봉산길 92-52 산북정원,관광지,374,🎥 영상 보기
,1박2일,1,2,0:00,통일집,강원특별자치도 강릉시 금성로61번길 11-1,맛집,,🎥 영상 보기
,1박2일,1,3,0:00,썸머키친,강원특별자치도 강릉시 죽헌길 67-6 1층,맛집,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,1박2일,2,4,0:00,정아네,강원특별자치도 강릉시 금성로 21,맛집,,🎥 영상 보기
,1박2일,2,5,0:00,삼교리동치미막국수 강릉본점,강원특별자치도 강릉시 구정면 범일로 364,맛집,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
